frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.proto,frame.len,frame.protocols
"36","1714740792.647130000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","71","eth:ethertype:ip:udp:data"
"37","1714740792.647176000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"38","1714740792.680983000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","1399","eth:ethertype:ip:udp:data"
"39","1714740792.681004000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","1399","eth:ethertype:ip:udp:data"
"40","1714740792.681017000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","1399","eth:ethertype:ip:udp:data"
"41","1714740792.681032000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","1399","eth:ethertype:ip:udp:data"
"42","1714740792.681043000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","983","eth:ethertype:ip:udp:data"
"43","1714740792.682956000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","81","eth:ethertype:ip:udp:data"
"44","1714740792.684040000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.16.31.1","17","88","eth:ethertype:ip:udp:dns"
"45","1714740792.684240000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.16.31.1","17","88","eth:ethertype:ip:udp:dns"
"46","1714740792.684337000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.16.31.1","17","93","eth:ethertype:ip:udp:dns"
"47","1714740792.684881000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","77","eth:ethertype:ip:udp:data"
"48","1714740792.684962000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"49","1714740792.685856000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","71","eth:ethertype:ip:udp:data"
"50","1714740792.686045000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","76","eth:ethertype:ip:udp:data"
"51","1714740792.688326000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","563","eth:ethertype:ip:udp:data"
"52","1714740792.688996000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.16.31.1","172.16.31.14","17","104","eth:ethertype:ip:udp:dns"
"53","1714740792.689360000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.16.31.1","172.16.31.14","17","121","eth:ethertype:ip:udp:dns"
"54","1714740792.689839000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.16.31.1","172.16.31.14","17","116","eth:ethertype:ip:udp:dns"
"55","1714740792.692527000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","77","eth:ethertype:ip:udp:data"
"56","1714740792.692612000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"57","1714740792.746042000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1394","eth:ethertype:ip:udp:data"
"58","1714740792.746042000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"59","1714740792.746042000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","546","eth:ethertype:ip:udp:data"
"60","1714740792.746334000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","83","eth:ethertype:ip:udp:data"
"61","1714740792.750561000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","71","eth:ethertype:ip:udp:data"
"62","1714740792.760899000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","936","eth:ethertype:ip:udp:data"
"63","1714740792.764579000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","77","eth:ethertype:ip:udp:data"
"64","1714740792.764702000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"65","1714740792.774205000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","142","eth:ethertype:ip:udp:data"
"66","1714740792.774324000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","69","eth:ethertype:ip:udp:data"
"67","1714740792.774520000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","83","eth:ethertype:ip:udp:data"
"68","1714740792.774990000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1393","eth:ethertype:ip:udp:data"
"69","1714740792.774990000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"70","1714740792.775082000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"71","1714740792.775082000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"72","1714740792.775082000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"73","1714740792.775098000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"74","1714740792.775142000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"75","1714740792.775205000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
