frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,frame.len
"1","Apr 24, 2024 14:01:09.410522000 CEST","84:34:97:3c:aa:a0","09:00:09:09:13:a6",,,,"60"
"2","Apr 24, 2024 14:01:10.107128000 CEST","6c:03:09:ac:7d:82","01:80:c2:00:00:00",,,,"119"
"3","Apr 24, 2024 14:01:11.720403000 CEST","e0:01:a6:06:c6:e5","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17","342"
"4","Apr 24, 2024 14:01:11.964464000 CEST","30:e1:71:5d:1d:b6","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17","342"
"5","Apr 24, 2024 14:01:12.120464000 CEST","6c:03:09:ac:7d:82","01:80:c2:00:00:00",,,,"119"
"6","Apr 24, 2024 14:01:13.229127000 CEST","30:e1:71:5d:1d:b6","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17","342"
"7","Apr 24, 2024 14:01:13.416734000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.16.31.1","17","86"
"8","Apr 24, 2024 14:01:13.416829000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.16.31.1","17","86"
"9","Apr 24, 2024 14:01:13.418831000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.16.31.1","172.16.31.14","17","379"
"10","Apr 24, 2024 14:01:13.419012000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.16.31.1","172.16.31.14","17","235"
"11","Apr 24, 2024 14:01:13.441488000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17","1399"
"12","Apr 24, 2024 14:01:13.452795000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17","1399"
"13","Apr 24, 2024 14:01:13.452795000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17","657"
"14","Apr 24, 2024 14:01:13.453968000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17","155"
"15","Apr 24, 2024 14:01:13.454116000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17","1399"
